Rank,Name,Country,Single
180,Varun Mohanraj,USA,364.01
181,Jaden Lim,Philippines,365.59
182,Peter Grassard,France,365.63
183,Oliver Fritz,Germany,365.71
184,Felipe Medel,Chile,365.86
185,Jonathan Chng,Singapore,366.08
186,Li Chak Kwan (李澤堃),Hong Kong,366.66
187,Adam Łyskawa,Poland,366.74
188,Daniel Wallin,Sweden,367.22
189,Łukasz Burliga,Poland,367.45
190,Fabian Emiliano Escareño Gonzalez,Mexico,367.45
191,Daniel Rose-Levine,USA,367.52
192,Dan Tran,USA,367.59
193,Wilhelm Kilders,Germany,367.65
194,Albert Philip Bulao,Philippines,367.83
195,Isaac Vergara Castillo,Mexico,367.83
196,Kai-Lun Cheng (鄭凱倫),Taiwan,367.87
197,Daniel Wannamaker,USA,368.32
198,Jacob Nokes,USA,368.5
199,Bo Wang (王擘),China,368.6
200,SeungBeom Cho (조승범),Korea,368.82
201,Drew Brads,USA,369.14
202,Ng Jia Quan (黄佳铨),Malaysia,369.83
203,Daniel Vædele Egdal,Denmark,369.86
204,Ace Djun T. Aguirre Jr.,Philippines,370.36
205,Shuhei Omura (大村周平),Japan,370.39
206,Hubert Kwasigroch,Poland,370.42
207,Sameer Aggarwal,USA,370.48
208,Timothy Castle,USA,370.62
209,Chris Deng,USA,370.66
210,Kyle McDonald Trejos,Costa Rica,371.01
211,Yunliang Zhang (张赟量),China,371.34
212,Mauro Moises López,Spain,371.41
213,Yu-Kai Chen (陳宇楷),Taiwan,371.42
214,Jerry Yao,USA,371.43
215,Shenchuan Mao (毛神川),China,371.62
216,Yu Da-Hyun (유다현),Korea,371.62
217,Peter Weyers,USA,372.11
218,Kim Min (김민),Korea,372.13
219,Jascha Bakarinow,Germany,372.35
220,An Hu (胡安),China,372.58
221,Axel Brisse,France,372.77
222,June Burkhardt,USA,372.92
223,Louie Jay Quibote,Philippines,372.96
224,Daniel Rodríguez Espinosa,Spain,373.0
225,Lucas Déglise,France,373.16
226,Kevin Costello III,USA,373.24
227,Nathaniel Ortega,Philippines,373.81
228,Hunor Mogyorósi,Hungary,373.88
229,Nguyễn Thành Thái,Vietnam,374.1
230,Ishaan Lal,USA,374.18
231,Farid Mikhailov,Kazakhstan,374.59
232,David Vujasić,Croatia,374.63
233,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,374.69
234,Jan Staubach,Germany,374.84
235,Tomáš Szyszkowicz,Czech Republic,375.7
236,Nguyễn Hồ Nam,Vietnam,375.73
237,Joel Cetra,Germany,375.76
238,Fabio Schwandt,United Kingdom,375.77
239,Nikita Kovalchuk (Нікіта Ковальчук),Ukraine,375.9
240,Thachtawan Thanintwanichkul (ธัชตะวัน ธนินท์วานิชกุล),Thailand,376.23
241,Ujjawal Pabreja,India,376.42
242,Louis Fertier,France,376.53
243,Joshua Feran,USA,376.71
244,James Hildreth,USA,376.83
245,Weifu Shen (沈为夫),China,377.1
246,Jeremy Singson,India,377.14
247,Samantha Raskind,USA,377.14
248,Alvar Nylén,Sweden,377.33
249,Daniel Karnaukh,USA,377.4
250,Weixing Zhang (张炜星),China,377.52
251,Wenxuan Tang (唐文轩),China,377.89
252,Daniel Evans,United Kingdom,378.73
253,Danila Ryabinin,Russia,379.21
254,Cory Yurkovic,USA,379.44
255,Zhaoyang Hong (洪兆阳),China,379.44
256,Knut Skaug Haraldsen,Norway,379.75
257,Dmitry Shelomencev,Russia,380.48
258,Dale Stephen M. Palmares,Philippines,380.79
259,Victor Chenu,France,381.17
260,Dmitry Zvyagintsev,Russia,381.59
261,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,381.61
262,Jose Polorhenzo Aquino,Philippines,381.77
263,Fabian Löhle,Switzerland,381.85
264,Tobias Peter,Switzerland,382.18
265,Stephen Christopher Suba,Philippines,382.24
266,Chidchanok Saelee (ชิดชนก แซ่ลี้),Thailand,382.53
267,Sooho Lee (이수호),Korea,382.58
268,Luboš Bartík,Czech Republic,382.68
269,Wenjie Lan (兰文杰),China,382.96
270,Mihnea Andrei Panţu,Romania,383.31
271,Rui-Jun Liu (劉睿鈞),Taiwan,383.31
272,Wojciech Knott,Poland,383.42
273,Ganghui Lin (林刚辉),China,383.53
274,Kari Hyttinen,Finland,383.54
275,Ty Marshall,USA,383.62
276,Steven Kearns,United Kingdom,383.76
277,Michel Ye,France,384.11
278,Jonathan Esparaz,Canada,384.41
279,Andre Febriato Jonathan,Indonesia,384.51
280,Magdalena Pabisz,Poland,384.69
281,Shuto Ueno (上野柊斗),Japan,384.98
282,Beom San Kim (김범산),Korea,385.11
283,Jinyao Chen (陈今尧),China,385.52
284,Niño Francis S. Reyes,Philippines,385.85
285,Mark Zimmermann,Germany,386.19
286,Soichi Akamatsu (赤松聡一),Japan,386.29
287,Shivam Bansal,India,386.33
288,Joe Ewbank,United Kingdom,386.46
289,Róbert Maróti,Hungary,386.46
290,Daniel Sheppard,United Kingdom,386.86
291,Tianze Xu (徐天泽),China,387.45
292,Michał Mlostek,Poland,387.51
293,Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,387.78
294,Ibrahim Khanani,USA,388.03
295,Antoine Cantin,Canada,388.05
296,Mok Man Kit (莫文傑),Hong Kong,388.13
297,Zi-Xian Liao (廖子賢),Taiwan,388.25
298,Dawei Xu (徐大卫),China,388.51
299,Jiahao Deng (邓家豪),China,388.97
300,Valentin Hoffmann,France,389.13
301,Kerry Creech,USA,389.24
302,Yota Ueda (上田陽太),Japan,389.4
303,Vishwa Sankar,USA,389.66
304,Jun-Rui Rao (饒峻睿),Taiwan,389.75
305,James Quinn,USA,389.78
306,Zhiqing Shi (石志庆),China,389.82
307,Igor Tarasov (Ігор Тарасов),Ukraine,390.01
308,Alexandre Carlier,France,390.07
309,Jiyi Wang (王吉怡),China,390.16
310,Niko Paavilainen,Finland,391.04
311,Raphaël Pihet,France,391.18
312,Catherine Trace,USA,391.25
313,Hongtong Zhu (朱泓同),China,391.25
314,Eva Kato,USA,391.44
315,Ricardo Sanchez Laurencio,Peru,391.46
316,Étienne Aubry,France,391.76
317,Shao-Heng Hung (洪紹恆),Taiwan,392.1
318,Jong Hun Kim,Korea,392.2
319,Jesser Armando Ramírez Diaz,Guatemala,392.32
320,Yung-Hung Cheng (鄭永鴻),Taiwan,392.39
321,Dylan Wang,Canada,392.79
322,Mantas Urbanavičius,Lithuania,392.87
323,Blake Thompson,USA,393.24
324,Tim Wong,USA,393.28
325,Aryan Chhabra,India,393.58
326,Erik Akkersdijk,Netherlands,393.65
327,Dhruv Suresh,India,393.71
328,Jiawei Wu (伍嘉维),China,393.81
329,Michael Andres Castillo Lemus,Colombia,393.99
330,Luigi Soriano,USA,394.16
331,Yitao Hong (洪奕涛),China,394.21
332,Ilia Murmulyak,Russia,394.42
333,Ahmet Çınar Ablak,Turkey,394.47
334,Nikolaus Lindinger,Austria,394.61
335,Louis Cormier,Canada,394.74
336,Alexander Bashutkin,Russia,394.83
337,Hayden Ng,Australia,394.93
338,Noah Swor,USA,394.96
339,Zihan Zhang (张子涵),China,395.01
340,Alexandru Ioan Popescu,Romania,395.38
341,Ryan Minjun Cho,Canada,395.7
342,Eduardo Rafael Mendiola Rosas,Mexico,395.72
343,Tommy Kiprillis,Australia,396.05
344,Ben Baron,Israel,396.17
345,Muhammad Razin Bin Roslan,Malaysia,396.29
346,Ari Randers-Pehrson,USA,396.48
347,Jonathan Charlesworth,Australia,396.51
348,Cezary Rokita,Poland,396.51
349,Quan Nguyen,Australia,396.55
350,Ryan Yasinko,Canada,396.65
351,Gabriel LaForte,USA,396.78
352,Ian Southa,USA,396.8
353,Callum Hales-Jepp,United Kingdom,396.82
354,Yuji Yoshida,Philippines,397.09
355,Harry Savage,United Kingdom,397.28
356,Robbie Villarica,Philippines,397.74
357,Luca Brasini,Italy,397.84
358,Xingkai Yin (尹星凯),China,398.01
359,Vincenzo Maria Gammino,Italy,398.23
360,Jhon Edinson Arias Parra,Colombia,398.25
361,Joel Lundström,Sweden,398.25
362,Sheng-Wen Wang (王聖文),Taiwan,398.36
363,Jinseo Hong,Korea,398.4
364,Jonathan Tan Wei Xiat,Malaysia,398.41
365,Elian Beguec,France,398.83
366,Dylan Hughlett,USA,398.88
367,Jode Brewster,Australia,399.05
368,Ruotong Wang (王若同),China,399.19
369,Giovanni Contardi,Italy,399.27
370,Zhiyuan Ma (马之元),China,399.32
371,Dante Jesus Arevalo Leal,Mexico,399.47
372,Pietro Gasparetto,Italy,399.83
373,Ekaterina Shutenko,Russia,399.89
374,Chan Ting Yan,Malaysia,400.02
375,Phillip Lewicki,USA,400.32
376,Ernesto Gutiérrez Cuba,Peru,400.47
377,Agustín Diano,Uruguay,400.97
378,Kevin Min,Korea,401.45
379,Zian Song (宋子安),China,401.46
380,Pavel Yushkevich,Belarus,401.59
381,Josias Milan Sirpa Pinto,Bolivia,401.9
382,Lev Golub (Лев Голуб),Ukraine,402.24
383,Rong Fan (樊榕),China,402.24
384,Axel Uriel Sánchez Zúñiga,Mexico,402.31
385,Dario Roa Sánchez,Spain,402.37
386,Andrey Che,Russia,402.63
387,Nathan Dwyer,USA,402.68
388,Oscar Nieto,Colombia,403.05
389,Nicolás Sánchez,USA,403.08
390,Sukant Koul,India,403.17
391,Inigo Miguel B. Palisoc,Philippines,403.21
392,Achmad Rizki Zakaria,Indonesia,403.32
393,Juewei Hu (胡珏伟),China,403.41
394,Michael Röhrer,Austria,403.53
395,Shaowei Hou (侯少尉),China,404.13
396,Jordan Mosakowski,USA,404.16
397,Karina Grandjean Beck,Denmark,404.2
398,Shanfeng Tu (涂善锋),China,404.31
399,Weijie Fang (方伟杰),China,404.41
400,Toni Beljo,Croatia,404.49
401,Quan Trần Thanh Lương,Vietnam,404.72
402,Teo Bin Jie (张斌杰),Singapore,404.76
403,Kanting Shi (史勘霆),China,404.91
404,Andrey Molchan,Belarus,405.01
405,Daniel Guardado Cabral,Mexico,405.22
406,Ricardo Lutchman,USA,405.25
407,Sean Moran,United Kingdom,405.28
408,Shane Grogan,USA,405.33
409,Owen Chester,USA,405.83
410,Yunke Zhang (张云柯),China,406.21
411,Brandon Delacruz,USA,406.41
412,Kostiantyn Stadnyk (Костянтин Стадник),Ukraine,406.61
413,Adrien Schumacker,Belgium,406.64
414,Sergio Emmanuel Sanchez Rodriguez,Mexico,406.67
415,Adam Marcellus Kelly,USA,406.78
416,Zejun Chen (陈泽鋆),China,407.12
417,Ray Bai,USA,407.12
418,Luke Garrett,USA,407.16
419,Milán Baticz,Hungary,407.35
420,Abraham Ismael Hernandez Sabido,Mexico,407.37
421,Jakub Wojtaszewski,Poland,407.41
422,Constantin Lüske,Germany,407.46
423,Vasco Vasconcelos,Portugal,407.56
424,Ying Lin (林颖),China,407.57
425,Yu Nakajima (中島悠),Japan,407.65
426,Alexei Sinyavin,USA,408.24
427,Vinny Vecchio,USA,408.8
428,Heewon Seo,USA,408.8
429,Tom Stanton-Barnett,New Zealand,408.94
430,Preston Nguyen,USA,409.07
431,Hau-Yu Huang (黃浩宇),Taiwan,409.14
432,Erik Zimmermann,Germany,409.19
433,Mark Ostrom,United Kingdom,409.33
434,Mathias Søndergaard Byrne,Denmark,409.47
435,Erdos Toleugazyev (Ердос Толеугазыев),Kazakhstan,409.57
436,Rodrigo Ugarte,Bolivia,409.69
437,Dan Cohen,USA,409.82
438,Alevio Hamizan Ersha,Indonesia,409.89
439,Micah Morrison,USA,410.31
440,Graham Lively,USA,410.51
441,Christian Angelo Araneta Naguio,Philippines,410.54
442,Yuhei Takagi (高木佑平),Japan,410.64
443,Kevin Lee,USA,410.64
444,Jeffrey Li,USA,410.67
445,Juan de Dios Noriega Sánchez,Mexico,411.2
446,Raymond Goslow,USA,411.32
447,Weisheng Chen (陈伟胜),China,411.48
448,Dmitry Dobrjakov,Russia,411.52
449,Emanuel Rheinert,Germany,411.55
450,Roan Paone,Canada,411.55
451,David Armstrong,USA,411.72
452,Smeling Becerra,Peru,411.93
453,Manuel Prieto de Antón,Spain,412.03
454,Lucas Ichiro Yunomae,Brazil,412.04
455,José Antonio Navarro Sánchez,Spain,412.11
456,Katie Davies,United Kingdom,412.71
457,Takayuki Ookusa (大艸尊之),Japan,412.82
458,Cel Adriane Lalo,Philippines,413.05
459,Kerem Eroğlu,Turkey,413.07
460,Andrii Kononenko (Андрій Кононенко),Ukraine,413.24
461,Jacob Chambers,United Kingdom,413.56
462,Zayn Khanani,USA,413.77
463,Aedan Bryant,USA,414.13
464,Diego Alfonso,France,414.23
465,Alejandro Cisneros Bracho,Mexico,414.42
466,Dwyane Ramos,New Zealand,414.45
467,Ismael Lorente,Spain,414.51
468,Ivan Vynnyk (Іван Винник),Ukraine,414.58
469,Kymberlyn Calderon,USA,414.67
470,Enzo Mattos,Brazil,414.78
471,Hunor Bózsing,Hungary,414.95
472,Rafael Carreiro Campos,Brazil,415.08
473,Zixi Yan (严子希),China,415.13
474,William Gan Wei Ren (颜伟仁),Malaysia,415.37
475,Kamil Tkacz,Poland,415.52
476,Jibo Zhao (赵吉波),China,415.61
477,Hassan Khanani,USA,415.62
478,Graham Siggins,USA,415.89
479,Ethan Davis,USA,416.31
480,Sam Schultz,USA,416.35
481,Simon Lim (林少秋),Philippines,416.47
482,Riley Dexter,Australia,416.51
483,Manuel Gutman,Argentina,416.54
484,Oliver Brookes,Sweden,416.72
485,Gabriel Marczak,Poland,416.87
486,Yongting You (尤永庭),China,417.11
487,Tomoya Firman,Australia,417.19
488,Jihao Zhang (张纪豪),China,417.28
489,Andy Denney,USA,417.31
490,Florian Harrer,Germany,417.32
491,Raymond Castillo,USA,417.64
492,Angel Armando Jaime Sánchez,Mexico,417.7
493,Krystian Załuski,Poland,417.75
494,Ewsey Obzherin,Russia,417.89
495,Yuhang Sun (孙煜航),China,417.99
496,Adrian Jorghy,Indonesia,418.02
497,Christopher Olson,USA,418.11
498,Brian Johnson,USA,418.12
499,Samuel Knoll,USA,418.13
500,Anrui Cen (岑广瑞),China,418.15
501,Alejandro Daniel Salceda Corvera,Mexico,418.18
502,Christian König,Germany,418.26
503,Shu-Yii Luo (駱書翊),Taiwan,418.42
504,Gergely Novotni,Hungary,418.81
505,Jan Bentlage,Germany,418.98
506,Miguel Gonzaga,Philippines,419.08
507,Noah Blevins,USA,419.12
508,William Tao,Australia,419.17
509,Youbin Zheng (郑友彬),China,419.2
510,Garret von Gaffron,Germany,419.37
511,Semen Artyukhov,Russia,419.39
512,Mohammad Ibnu Sabilillah,Indonesia,419.57
513,Christopher Morris,United Kingdom,419.6
514,Henry Lichner,USA,419.65
515,Nathaniel Berg,Sweden,419.74
516,Tyler Howlett,USA,419.91
517,Asato Irifune (入船朝斗),Japan,420.15
518,Kamal Kandpal,Canada,420.21
519,Elias Fischer,Germany,420.22
520,Jose Daniel Cobo Torres,Colombia,420.4
521,Arush Singh,India,420.49
522,Andreas Wagner,Austria,420.5
523,Yunqi Ouyang (欧阳韵奇),China,420.52
524,Jen Yuan Chen (陳楨元),Taiwan,420.55
525,Feilong Tang (唐飞龙),China,420.59
526,Wilson Alvis (陈智胜),Indonesia,420.62
527,Xinyun Chen (陈新运),China,420.81
528,Erick Lemus Fuentes,Chile,421.03
529,Miguel Reyes,Mexico,421.17
530,Xiaobin Rui (芮晓彬),China,421.29
531,Nguyễn Tuấn Công,Vietnam,421.35
532,Ryouga Hayashi (林竜河),Japan,421.37
533,Kristopher De Asis,Canada,421.55
534,Leonard Wetzel,Germany,422.01
535,Claudio Andre Gomez Villca,Bolivia,422.24
536,Angeline Wijaya (黃千儀),Indonesia,422.39
537,Nela Sendlerová,Czech Republic,422.73
538,Vilius Ribinskas,Lithuania,422.73
539,Haoxiang Ying (应浩祥),China,422.75
540,Yongzhe Mao (毛勇喆),China,422.84
541,Jerónimo Ibarra Bernal,Spain,422.87
542,Pavel Galaktionov,Russia,422.92
543,Xinjie Shi (施鑫杰),China,423.09
544,Jadon Castillo,USA,423.18
545,Cai Ying (应才),China,423.7
546,Chenying Pei (裴琛英),China,423.72
547,Andreas Jensen Forsgren,Norway,423.8
548,Angela Braganza,New Zealand,424.09
549,Ziheng Ma (马子恒),China,424.25
550,Massimiliano Iovane,Italy,424.46
551,Chengyang Song (宋成阳),China,424.54
552,Bo-Yan Wu (吳柏彥),Taiwan,424.64
553,Theo Mayer,Switzerland,424.67
554,Jonathan Mauroy,Belgium,424.84
555,Disheng Qiao (乔涤生),China,424.85
556,Minkyu Shin (신민규),Korea,424.96
557,Yan-Hung Lai (賴彥宏),Taiwan,424.97
558,Yusuke Takada (高田祐介),Japan,425.13
559,Andrii Vasyliev (Андрій Васильєв),Ukraine,425.14
560,Benjamin Gottschalk,USA,425.19
561,Genaro Sahib Leguizamon,Argentina,425.23
562,Congbiao Jiang (蒋丛骉),China,425.57
563,Daniel Greigg,USA,425.79
564,Bartłomiej Krokos,Poland,425.79
565,Robert Alden,United Kingdom,425.83
566,Ruzhen Ye (叶儒臻),China,425.96
567,MinSeo Gu (구민서),Korea,425.97
568,Ryan Pilat,USA,426.01
569,Akshaansh Chilakapati,India,426.15
570,Cormac Farrell,United Kingdom,426.19
571,Aaron Du,USA,426.23
572,Đỗ Quang Hưng,Vietnam,426.31
573,Olivier Vos,Netherlands,426.32
574,Cristian Nieves,USA,426.46
575,Chawin Ratanasiri (ชวิน รัตนสิริ),Thailand,426.52
576,Will Gurnett,Australia,426.79
577,Finn Ickler,Germany,426.79
578,Nguyễn Ngọc Thịnh,Vietnam,426.95
579,Chengzhang Lin (林成璋),China,426.97
580,Alessio Giuliano,Switzerland,427.23
581,Ainesh Sevellaraja,Malaysia,427.72
582,Piyush Passi,India,427.86
583,Zhengli Ning (宁郑立),China,427.95
584,Lee Chiang (蔣礪),Taiwan,428.1
585,Dalton Padgett,USA,428.16
586,Aidan McKenzie,USA,428.27
587,James Molloy,United Kingdom,428.3
588,Francisco Cabral de Jesus,Argentina,428.3
589,Daniel Grabski,Austria,428.44
590,Will Newhoff,USA,428.75
591,Yiran Lin (林懿然),China,428.89
592,Nicholas Pena,USA,428.89
593,Morten Arborg,Norway,429.05
594,Aleksander Osipov (Александр Осипов),Russia,429.21
595,Jay Benedict Alfaras,Philippines,429.31
596,Michael Gottlieb,USA,429.54
597,Yezhen Han (韩业臻),China,429.62
598,Justin Mallari,USA,429.73
599,Pedro Giuseppe Garcia Milla,Peru,429.82
600,Jakub Grzybowski,Poland,429.84
601,Joshua Hounslow,Australia,429.89
602,Michael (謝富亦),Indonesia,430.24
603,Cheng-Ying Lee (李承穎),Taiwan,430.34
604,Paolo Moriello,Italy,430.45
605,Aharon Campoli Tono,Brazil,430.46
606,Byron Jin,USA,430.54
607,Mikołaj Zubowicz,Poland,430.64
608,Eli Parker,USA,430.65
609,Daniel Delgado Candia,Bolivia,430.7
610,Aarav Gandhi,India,430.71
611,Julián García Sánchez,Mexico,430.85
612,Przemysław Kruczek,Poland,431.15
613,Alese Devin,USA,431.23
614,François-Xavier Kerdelhué,France,431.26
615,Xiaohan Yan (闫小晗),China,431.33
616,Daniel Guzman,USA,431.35
617,Piotr Olszewski,Poland,431.38
618,Maxim Ilin,Russia,431.38
619,Rui Yu (余睿),Taiwan,431.45
620,Vicenzo Guerino Cecchini,Brazil,431.8
621,Reto Bubendorf,Switzerland,431.88
622,Gamaliel Jimenez Oropeza,Mexico,431.96
623,Joaquín Infante Medrano,Mexico,431.97
624,Lei Liu (刘磊),China,432.02
625,Midas Kiebert,Netherlands,432.17
626,Jr-Wei Jang (張智瑋),Taiwan,432.29
627,Michael Muething,USA,432.3
628,Carlos Méndez García-Barroso,Spain,432.45
629,Matic Omulec,Slovenia,432.72
630,Kevin Matthews,Canada,432.76
631,Charles Koebele,USA,432.92
632,Zachary Walden,USA,433.09
633,Dmitry Kryuzban,Russia,433.38
634,Ruei-Jyun Chang (張睿鈞),Taiwan,433.5
