Rank,Name,Country,Single
60,Tommy Cherry,USA,322.28
61,Zachary White,USA,322.77
62,Stanley Chapel,USA,322.87
63,Marek Majerik,Slovakia,323.07
64,Maksym Yeli (Максим Єлі),Ukraine,323.32
65,Livia Kleiner,USA,323.39
66,He-Ping Zheng (鄭和平),Taiwan,323.41
67,Ryan Driscoll,Australia,323.68
68,Alexis Rodrigo Cazu Mendoza,Mexico,324.42
69,Dana Yi,USA,324.7
70,Manfred Siew Ee Sheng (蕭奕晟),Malaysia,324.76
71,Junliang Huang (黄骏亮),China,325.1
72,Yu Feng (冯煜),China,325.5
73,Mateusz Szulik,Poland,325.72
74,Janelle Loh,Singapore,328.18
75,Eder Olivencia Gonzalez,Spain,328.36
76,Antonie Paterakis,Greece,328.78
77,Anish Rajesh,India,328.82
78,Szymon Malinowski,Poland,328.94
79,Paris Dorn,Canada,330.83
80,Vincent Hartanto Utomo,Indonesia,331.66
81,Pahul Singh,Canada,331.92
82,Xin Luo (罗鑫),China,333.51
83,Bence Barát,Hungary,333.75
84,Magnus Søndergaard Byrne,Denmark,333.79
85,Lin Chen (陈霖),China,334.25
86,Antonio López,Spain,334.4
87,Lee Hoween,Malaysia,334.41
88,Jared Stinson,USA,335.06
89,Henri Gerber,Germany,335.7
90,Wong Chong Wen (黄崇文),Singapore,335.98
91,Karol Zakrzewski,Poland,336.17
92,Jane Behrle,USA,337.08
93,Yusheng Du (杜宇生),China,337.3
94,Sheldon Rego,India,337.41
95,Cameron Soulagnet,USA,337.57
96,Carlos Tapp,Spain,337.95
97,Ivan Torgashov (Иван Торгашов),Russia,338.46
98,Yu Sajima (佐島優),Japan,338.81
99,Marco Vorländer,Germany,338.82
100,Robert Yau,United Kingdom,338.84
101,Kunal Oak,India,340.17
102,Katie Hull,USA,340.28
103,Jack Pfeifer,USA,340.48
104,Vladyslav Hryniuk (Владислав Гринюк),Ukraine,340.72
105,Marco Antonio Ponce de León Aguilar,Peru,341.18
106,Richmond Mico Rigor,Philippines,341.23
107,Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,341.92
108,Artyom Martirosov,Russia,342.37
109,Theo Iván Goluboff,Argentina,342.71
110,Zhao-Zhe Zhong (鍾肇哲),Taiwan,342.72
111,Magnus Patrick Kanstrup,Denmark,343.08
112,Laura Holzhauer,Germany,343.15
113,Chun-Pao Ni (倪君寶),Taiwan,343.66
114,Andy Gong,Australia,344.01
115,Lucas Etter,USA,344.59
116,Jason Lee,USA,344.91
117,Kim Roger Høyland Larsen,Norway,345.32
118,Vladislav Shavelskiy,Russia,345.39
119,John Brechon,USA,345.5
120,Bartłomiej Owczarek,Poland,345.97
121,Tomohiro Kobayashi (小林知広),Japan,346.37
122,Sheng Cao (曹晟),China,346.54
123,Jakob Gunnarsson,Sweden,346.76
124,Danny SungIn Park,Korea,346.87
125,Tristan Chua Yong,Singapore,347.63
126,Amos Nordman,Finland,347.97
127,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),Mongolia,348.03
128,Jayden McNeill,Australia,348.22
129,Yap Jia Yang,Malaysia,348.48
130,Alwin Rölz,Switzerland,349.08
131,Yueh-Lin Tsai (蔡岳霖),Taiwan,349.08
132,Ben Kirby,New Zealand,349.35
133,Jingzheng Wang (王景正),China,350.07
134,Malte Ihlefeld,Germany,350.31
135,Vladyslav Zhydkov (Владислав Жидков),Ukraine,350.41
136,Chris Choi,USA,352.12
137,Walker Welch,USA,352.63
138,Alexander Botz,Germany,352.73
139,Sergey Shitov,Russia,352.98
140,Kam Chor Kin (甘楚健),China,353.63
141,Ho Hsieh (謝合),Taiwan,354.14
142,Mitchell Lane,USA,354.69
143,Kailong Li (李开隆),China,354.7
144,Bryan Eng,Australia,355.1
145,Waldemar Sundin,Sweden,355.43
146,Wei-Ming Zeng (曾唯銘),Taiwan,355.55
147,Carter Bitz,USA,355.72
148,Tomáš Zatroch,Slovakia,355.84
149,Marjorie Marbly Miranda Nunes,Brazil,356.12
150,Clément Cherblanc,France,356.49
151,Martin Fronescu,Romania,356.89
152,Arnav Arora,India,357.39
153,Gustav Wälivaara,Sweden,357.41
154,Nathan Soria,USA,357.57
155,Kazuki Sakamoto (坂本一樹),Japan,357.74
156,Ray Zhang (张灏睿),Australia,358.45
157,Simon Westlund,Sweden,358.69
158,Alvin Yang,China,358.95
159,Jong-Ho Jeong (정종호),Korea,358.97
160,Jorge Leonardo Sánchez Salazar,Mexico,359.15
161,Aleksandr Nedelko,Russia,359.53
162,Lim Hung (林弘),Malaysia,359.57
163,Sameer Mahmood,United Kingdom,359.8
164,Kate Grahame,USA,359.92
165,Vincent Chen,USA,360.09
166,Sameer Aggarwal,USA,360.24
167,Jonah Crosby,USA,360.31
168,Daryl Tan Hong An,Singapore,360.64
169,Breandan Vallance,United Kingdom,360.83
170,Yi Seung-Woo (이승우),Korea,361.11
171,Keaton Ellis,USA,361.2
172,William Jensen,Sweden,361.22
173,Gael Augusto Lapeyre,Argentina,361.94
174,Emily Wang,Canada,362.11
175,Sean Belke,USA,362.22
176,Rasmus Stub Detlefsen,Denmark,362.74
177,Doyul Kim (김도율),Korea,362.99
178,Sam Jacklin,United Kingdom,363.32
179,Daniel Wallin,Sweden,363.63
180,Carter Kucala,USA,363.67
181,Ray Leung Ka Ho (梁家浩),Hong Kong,363.7
182,Varun Mohanraj,USA,364.01
183,Jaden Lim,Philippines,365.59
184,Peter Grassard,France,365.63
185,Oliver Fritz,Germany,365.71
186,Felipe Medel,Chile,365.86
187,Jonathan Chng,Singapore,366.08
188,Vishwa Sankar,USA,366.4
189,Li Chak Kwan (李澤堃),Hong Kong,366.66
190,Adam Łyskawa,Poland,366.74
191,Fabian Emiliano Escareño Gonzalez,Mexico,367.45
192,Łukasz Burliga,Poland,367.45
193,Daniel Rose-Levine,USA,367.52
194,Dan Tran,USA,367.59
195,Wilhelm Kilders,Germany,367.65
196,Isaac Vergara Castillo,Mexico,367.83
197,Albert Philip Bulao,Philippines,367.83
198,Kai-Lun Cheng (鄭凱倫),Taiwan,367.87
199,Daniel Wannamaker,USA,368.32
200,Jacob Nokes,USA,368.5
201,Bo Wang (王擘),China,368.6
202,SeungBeom Cho (조승범),Korea,368.82
203,Drew Brads,USA,369.14
204,Ng Jia Quan (黄佳铨),Malaysia,369.83
205,Daniel Vædele Egdal,Denmark,369.86
206,Ace Djun T. Aguirre Jr.,Philippines,370.36
207,Shuhei Omura (大村周平),Japan,370.39
208,Hubert Kwasigroch,Poland,370.42
209,Timothy Castle,USA,370.62
210,Chris Deng,USA,370.66
211,Kyle McDonald Trejos,Costa Rica,371.01
212,Yunliang Zhang (张赟量),China,371.34
213,Mauro Moises López,Spain,371.41
214,Yu-Kai Chen (陳宇楷),Taiwan,371.42
215,Jerry Yao,USA,371.43
216,Yu Da-Hyun (유다현),Korea,371.62
217,Shenchuan Mao (毛神川),China,371.62
218,Peter Weyers,USA,372.11
219,Kim Min (김민),Korea,372.13
220,Jascha Bakarinow,Germany,372.35
221,An Hu (胡安),China,372.58
222,Axel Brisse,France,372.77
223,June Burkhardt,USA,372.92
224,Louie Jay Quibote,Philippines,372.96
225,Daniel Rodríguez Espinosa,Spain,373.0
226,Lucas Déglise,France,373.16
227,Alvar Nylén,Sweden,373.21
228,Kevin Costello III,USA,373.24
229,Nathaniel Ortega,Philippines,373.81
230,Hunor Mogyorósi,Hungary,373.88
231,Nguyễn Thành Thái,Vietnam,374.1
232,Ishaan Lal,USA,374.18
233,Farid Mikhailov,Kazakhstan,374.59
234,David Vujasić,Croatia,374.63
235,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,374.69
236,Jan Staubach,Germany,374.75
237,Tomáš Szyszkowicz,Czech Republic,375.7
238,Nguyễn Hồ Nam,Vietnam,375.73
239,Joel Cetra,Germany,375.76
240,Fabio Schwandt,United Kingdom,375.77
241,Nikita Kovalchuk (Нікіта Ковальчук),Ukraine,375.9
242,Finn Trass,New Zealand,376.12
243,Thachtawan Thanintwanichkul (ธัชตะวัน ธนินท์วานิชกุล),Thailand,376.23
244,Louis Fertier,France,376.28
245,Kerry Creech,USA,376.29
246,Ujjawal Pabreja,India,376.42
247,Joshua Feran,USA,376.71
248,James Hildreth,USA,376.83
249,Weifu Shen (沈为夫),China,377.1
250,Samantha Raskind,USA,377.14
251,Jeremy Singson,India,377.14
252,Daniel Karnaukh,USA,377.4
253,Weixing Zhang (张炜星),China,377.52
254,Wenxuan Tang (唐文轩),China,377.89
255,Daniel Evans,United Kingdom,378.73
256,Danila Ryabinin,Russia,379.21
257,Mantas Urbanavičius,Lithuania,379.37
258,Zhaoyang Hong (洪兆阳),China,379.44
259,Cory Yurkovic,USA,379.44
260,Knut Skaug Haraldsen,Norway,379.75
261,Dmitry Shelomencev,Russia,380.48
262,Dale Stephen M. Palmares,Philippines,380.79
263,Victor Chenu,France,381.17
264,Dmitry Zvyagintsev,Russia,381.59
265,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,381.61
266,Jose Polorhenzo Aquino,Philippines,381.77
267,Fabian Löhle,Switzerland,381.85
268,Tobias Peter,Switzerland,382.18
269,Stephen Christopher Suba,Philippines,382.24
270,Chidchanok Saelee (ชิดชนก แซ่ลี้),Thailand,382.53
271,Sooho Lee (이수호),Korea,382.58
272,Luboš Bartík,Czech Republic,382.68
273,Wenjie Lan (兰文杰),China,382.96
274,Rui-Jun Liu (劉睿鈞),Taiwan,383.31
275,Mihnea Andrei Panţu,Romania,383.31
276,Wojciech Knott,Poland,383.42
277,Ganghui Lin (林刚辉),China,383.53
278,Kari Hyttinen,Finland,383.54
279,Ty Marshall,USA,383.62
280,Steven Kearns,United Kingdom,383.76
281,Michel Ye,France,384.11
282,Jonathan Esparaz,Canada,384.41
283,Andre Febriato Jonathan,Indonesia,384.51
284,Magdalena Pabisz,Poland,384.69
285,Shuto Ueno (上野柊斗),Japan,384.98
286,Beom San Kim (김범산),Korea,385.11
287,Jinyao Chen (陈今尧),China,385.52
288,Niño Francis S. Reyes,Philippines,385.85
289,Mark Zimmermann,Germany,386.19
290,Soichi Akamatsu (赤松聡一),Japan,386.29
291,Shivam Bansal,India,386.33
292,Joe Ewbank,United Kingdom,386.46
293,Róbert Maróti,Hungary,386.46
294,Daniel Sheppard,United Kingdom,386.86
295,Tianze Xu (徐天泽),China,387.45
296,Michał Mlostek,Poland,387.51
297,Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,387.78
298,Ibrahim Khanani,USA,388.03
299,Antoine Cantin,Canada,388.05
300,Mok Man Kit (莫文傑),Hong Kong,388.13
301,Zi-Xian Liao (廖子賢),Taiwan,388.25
302,Dawei Xu (徐大卫),China,388.51
303,Jiahao Deng (邓家豪),China,388.97
304,Valentin Hoffmann,France,389.13
305,Yota Ueda (上田陽太),Japan,389.4
306,Jun-Rui Rao (饒峻睿),Taiwan,389.75
307,James Quinn,USA,389.78
308,Zhiqing Shi (石志庆),China,389.82
309,Igor Tarasov (Ігор Тарасов),Ukraine,390.01
310,Alexandre Carlier,France,390.07
311,Noah Swor,USA,390.11
312,Jiyi Wang (王吉怡),China,390.16
313,Niko Paavilainen,Finland,391.04
314,Raphaël Pihet,France,391.18
315,Catherine Trace,USA,391.25
316,Hongtong Zhu (朱泓同),China,391.25
317,Eva Kato,USA,391.44
318,Ricardo Sanchez Laurencio,Peru,391.46
319,Michael Andres Castillo Lemus,Colombia,391.74
320,Étienne Aubry,France,391.76
321,Dwyane Ramos,New Zealand,391.95
322,Shao-Heng Hung (洪紹恆),Taiwan,392.1
323,Jong Hun Kim,Korea,392.2
324,Jesser Armando Ramírez Diaz,Guatemala,392.32
325,Yung-Hung Cheng (鄭永鴻),Taiwan,392.39
326,Dylan Wang,Canada,392.79
327,Blake Thompson,USA,393.24
328,Tim Wong,USA,393.28
329,Aryan Chhabra,India,393.58
330,Erik Akkersdijk,Netherlands,393.65
331,Dhruv Suresh,India,393.71
332,Jiawei Wu (伍嘉维),China,393.81
333,Luigi Soriano,USA,394.16
334,Yitao Hong (洪奕涛),China,394.21
335,Ilia Murmulyak,Russia,394.42
336,Ahmet Çınar Ablak,Turkey,394.47
337,Nikolaus Lindinger,Austria,394.61
338,Louis Cormier,Canada,394.74
339,Alexander Bashutkin,Russia,394.83
340,Hayden Ng,Australia,394.93
341,Zihan Zhang (张子涵),China,395.01
342,Alexandru Ioan Popescu,Romania,395.38
343,Ryan Minjun Cho,Canada,395.7
344,Eduardo Rafael Mendiola Rosas,Mexico,395.72
345,Tommy Kiprillis,Australia,396.05
346,Ben Baron,Israel,396.17
347,Muhammad Razin Bin Roslan,Malaysia,396.29
348,Ari Randers-Pehrson,USA,396.48
349,Jonathan Charlesworth,Australia,396.51
350,Cezary Rokita,Poland,396.51
351,Quan Nguyen,Australia,396.55
352,Ryan Yasinko,Canada,396.65
353,Gabriel LaForte,USA,396.78
354,Ian Southa,USA,396.8
355,Callum Hales-Jepp,United Kingdom,396.82
356,Yuji Yoshida,Philippines,397.09
357,Harry Savage,United Kingdom,397.28
358,Robbie Villarica,Philippines,397.74
359,Luca Brasini,Italy,397.84
360,Xingkai Yin (尹星凯),China,398.01
361,Vincenzo Maria Gammino,Italy,398.23
362,Jhon Edinson Arias Parra,Colombia,398.25
363,Joel Lundström,Sweden,398.25
364,Sheng-Wen Wang (王聖文),Taiwan,398.36
365,Jinseo Hong,Korea,398.4
366,Jonathan Tan Wei Xiat,Malaysia,398.41
367,Elian Beguec,France,398.83
368,Dylan Hughlett,USA,398.88
369,Adam Marcellus Kelly,USA,398.88
370,Jode Brewster,Australia,399.05
371,Giovanni Contardi,Italy,399.07
372,Ruotong Wang (王若同),China,399.19
373,Zhiyuan Ma (马之元),China,399.32
374,Dante Jesus Arevalo Leal,Mexico,399.47
375,Pietro Gasparetto,Italy,399.83
376,Ekaterina Shutenko,Russia,399.89
377,Chan Ting Yan,Malaysia,400.02
378,Phillip Lewicki,USA,400.32
379,Ernesto Gutiérrez Cuba,Peru,400.47
380,Heewon Seo,USA,400.48
381,Agustín Diano,Uruguay,400.97
382,Kevin Min,Korea,401.45
383,Zian Song (宋子安),China,401.46
384,Pavel Yushkevich,Belarus,401.59
385,Josias Milan Sirpa Pinto,Bolivia,401.9
386,Rong Fan (樊榕),China,402.24
387,Lev Golub (Лев Голуб),Ukraine,402.24
388,Tom Stanton-Barnett,New Zealand,402.28
389,Axel Uriel Sánchez Zúñiga,Mexico,402.31
390,Dario Roa Sánchez,Spain,402.37
391,Andrey Che,Russia,402.63
392,Jasper Murray,New Zealand,402.64
393,Nathan Dwyer,USA,402.68
394,Oscar Nieto,Colombia,403.05
395,Nicolás Sánchez,USA,403.08
396,Sukant Koul,India,403.17
397,Inigo Miguel B. Palisoc,Philippines,403.21
398,Achmad Rizki Zakaria,Indonesia,403.32
399,Juewei Hu (胡珏伟),China,403.41
400,Michael Röhrer,Austria,403.53
401,Shaowei Hou (侯少尉),China,404.13
402,Jordan Mosakowski,USA,404.16
403,Karina Grandjean Beck,Denmark,404.2
404,Shanfeng Tu (涂善锋),China,404.31
405,Weijie Fang (方伟杰),China,404.41
406,Toni Beljo,Croatia,404.49
407,Quan Trần Thanh Lương,Vietnam,404.72
408,Teo Bin Jie (张斌杰),Singapore,404.76
409,Kanting Shi (史勘霆),China,404.91
410,Andrey Molchan,Belarus,405.01
411,Daniel Guardado Cabral,Mexico,405.22
412,Ricardo Lutchman,USA,405.25
413,Sean Moran,United Kingdom,405.28
414,Shane Grogan,USA,405.33
415,Luke Garrett,USA,405.79
416,Owen Chester,USA,405.83
417,Yunke Zhang (张云柯),China,406.21
418,Brandon Delacruz,USA,406.41
419,Kostiantyn Stadnyk (Костянтин Стадник),Ukraine,406.61
420,Adrien Schumacker,Belgium,406.64
421,Sergio Emmanuel Sanchez Rodriguez,Mexico,406.67
422,Ray Bai,USA,407.12
423,Zejun Chen (陈泽鋆),China,407.12
424,Milán Baticz,Hungary,407.35
425,Abraham Ismael Hernandez Sabido,Mexico,407.37
426,Jakub Wojtaszewski,Poland,407.41
427,Constantin Lüske,Germany,407.46
428,Vasco Vasconcelos,Portugal,407.56
429,Ying Lin (林颖),China,407.57
430,Yu Nakajima (中島悠),Japan,407.65
431,Alexei Sinyavin,USA,408.24
432,Vinny Vecchio,USA,408.8
433,Preston Nguyen,USA,409.07
434,Hau-Yu Huang (黃浩宇),Taiwan,409.14
435,Erik Zimmermann,Germany,409.19
436,Mark Ostrom,United Kingdom,409.33
437,Mathias Søndergaard Byrne,Denmark,409.47
438,Erdos Toleugazyev (Ердос Толеугазыев),Kazakhstan,409.57
439,Rodrigo Ugarte,Bolivia,409.69
440,Ismael Lorente,Spain,409.71
441,Dan Cohen,USA,409.82
442,Alevio Hamizan Ersha,Indonesia,409.89
443,Micah Morrison,USA,410.31
444,Graham Lively,USA,410.51
445,Christian Angelo Araneta Naguio,Philippines,410.54
446,Yuhei Takagi (高木佑平),Japan,410.64
447,Kevin Lee,USA,410.64
448,Jeffrey Li,USA,410.67
449,Juan de Dios Noriega Sánchez,Mexico,411.2
450,Raymond Goslow,USA,411.2
451,Weisheng Chen (陈伟胜),China,411.48
452,Dmitry Dobrjakov,Russia,411.52
453,Roan Paone,Canada,411.55
454,Emanuel Rheinert,Germany,411.55
455,David Armstrong,USA,411.72
456,Smeling Becerra,Peru,411.93
457,Manuel Prieto de Antón,Spain,412.03
458,Lucas Ichiro Yunomae,Brazil,412.04
459,José Antonio Navarro Sánchez,Spain,412.11
460,Katie Davies,United Kingdom,412.71
461,Takayuki Ookusa (大艸尊之),Japan,412.82
462,Cel Adriane Lalo,Philippines,413.05
463,Kerem Eroğlu,Turkey,413.07
464,Andrii Kononenko (Андрій Кононенко),Ukraine,413.24
465,Jacob Chambers,United Kingdom,413.56
466,Zayn Khanani,USA,413.77
467,Aedan Bryant,USA,414.13
468,Diego Alfonso,France,414.23
469,Alejandro Cisneros Bracho,Mexico,414.42
470,Ivan Vynnyk (Іван Винник),Ukraine,414.58
471,Kymberlyn Calderon,USA,414.67
472,Enzo Mattos,Brazil,414.78
473,Hunor Bózsing,Hungary,414.95
474,Rafael Carreiro Campos,Brazil,415.08
475,Zixi Yan (严子希),China,415.13
476,William Gan Wei Ren (颜伟仁),Malaysia,415.37
477,Kamil Tkacz,Poland,415.52
478,Jibo Zhao (赵吉波),China,415.61
479,Hassan Khanani,USA,415.62
480,Graham Siggins,USA,415.89
481,Ethan Davis,USA,416.31
482,Sam Schultz,USA,416.35
483,Simon Lim (林少秋),Philippines,416.47
484,Riley Dexter,Australia,416.51
485,Manuel Gutman,Argentina,416.54
486,Oliver Brookes,Sweden,416.72
487,Gabriel Marczak,Poland,416.87
488,Yongting You (尤永庭),China,417.11
489,Tomoya Firman,Australia,417.19
490,Jihao Zhang (张纪豪),China,417.28
491,Andy Denney,USA,417.31
492,Florian Harrer,Germany,417.32
493,Raymond Castillo,USA,417.64
494,Angel Armando Jaime Sánchez,Mexico,417.7
495,Krystian Załuski,Poland,417.75
496,Ewsey Obzherin,Russia,417.89
497,Yuhang Sun (孙煜航),China,417.99
498,Adrian Jorghy,Indonesia,418.02
499,Christopher Olson,USA,418.11
500,Brian Johnson,USA,418.12
501,Samuel Knoll,USA,418.13
502,Anrui Cen (岑广瑞),China,418.15
503,Alejandro Daniel Salceda Corvera,Mexico,418.18
504,Christian König,Germany,418.26
505,Shu-Yii Luo (駱書翊),Taiwan,418.42
506,Gergely Novotni,Hungary,418.81
507,Jan Bentlage,Germany,418.98
508,Miguel Gonzaga,Philippines,419.08
509,Noah Blevins,USA,419.12
510,William Tao,Australia,419.17
511,Youbin Zheng (郑友彬),China,419.2
512,Garret von Gaffron,Germany,419.37
513,Semen Artyukhov,Russia,419.39
514,Mohammad Ibnu Sabilillah,Indonesia,419.57
515,Christopher Morris,United Kingdom,419.6
516,Henry Lichner,USA,419.65
517,Nathaniel Berg,Sweden,419.74
518,Tyler Howlett,USA,419.91
519,Asato Irifune (入船朝斗),Japan,420.15
520,Kamal Kandpal,Canada,420.21
521,Elias Fischer,Germany,420.22
522,Jose Daniel Cobo Torres,Colombia,420.4
523,Arush Singh,India,420.49
524,Andreas Wagner,Austria,420.5
525,Yunqi Ouyang (欧阳韵奇),China,420.52
526,Jen Yuan Chen (陳楨元),Taiwan,420.55
527,Feilong Tang (唐飞龙),China,420.59
528,Wilson Alvis (陈智胜),Indonesia,420.62
529,Xinyun Chen (陈新运),China,420.81
530,Erick Lemus Fuentes,Chile,421.03
531,Miguel Reyes,Mexico,421.17
532,Xiaobin Rui (芮晓彬),China,421.29
533,Nguyễn Tuấn Công,Vietnam,421.35
534,Ryouga Hayashi (林竜河),Japan,421.37
535,Kristopher De Asis,Canada,421.55
536,Leonard Wetzel,Germany,422.01
537,Claudio Andre Gomez Villca,Bolivia,422.24
538,Angeline Wijaya (黃千儀),Indonesia,422.39
539,Vilius Ribinskas,Lithuania,422.73
540,Nela Sendlerová,Czech Republic,422.73
541,Haoxiang Ying (应浩祥),China,422.75
542,Yongzhe Mao (毛勇喆),China,422.84
543,Jerónimo Ibarra Bernal,Spain,422.87
544,Pavel Galaktionov,Russia,422.92
545,Xinjie Shi (施鑫杰),China,423.09
546,Jadon Castillo,USA,423.18
547,Cai Ying (应才),China,423.7
548,Dalton Padgett,USA,423.71
549,Chenying Pei (裴琛英),China,423.72
550,Andreas Jensen Forsgren,Norway,423.8
551,Angela Braganza,New Zealand,424.09
552,Ziheng Ma (马子恒),China,424.25
553,Massimiliano Iovane,Italy,424.46
554,Chengyang Song (宋成阳),China,424.54
555,Bo-Yan Wu (吳柏彥),Taiwan,424.64
556,Theo Mayer,Switzerland,424.67
557,Jonathan Mauroy,Belgium,424.84
558,Disheng Qiao (乔涤生),China,424.85
559,Minkyu Shin (신민규),Korea,424.96
560,Yan-Hung Lai (賴彥宏),Taiwan,424.97
561,Yusuke Takada (高田祐介),Japan,425.13
562,Andrii Vasyliev (Андрій Васильєв),Ukraine,425.14
563,Benjamin Gottschalk,USA,425.19
564,Genaro Sahib Leguizamon,Argentina,425.23
565,Ryan Pilat,USA,425.45
566,Congbiao Jiang (蒋丛骉),China,425.57
567,Daniel Greigg,USA,425.79
568,Bartłomiej Krokos,Poland,425.79
569,Robert Alden,United Kingdom,425.83
570,Ruzhen Ye (叶儒臻),China,425.96
571,MinSeo Gu (구민서),Korea,425.97
572,Akshaansh Chilakapati,India,426.15
573,Cormac Farrell,United Kingdom,426.19
574,Aaron Du,USA,426.23
575,Đỗ Quang Hưng,Vietnam,426.31
576,Olivier Vos,Netherlands,426.32
577,Cristian Nieves,USA,426.46
578,Chawin Ratanasiri (ชวิน รัตนสิริ),Thailand,426.52
579,Byron Jin,USA,426.78
580,Finn Ickler,Germany,426.79
581,Will Gurnett,Australia,426.79
582,Nguyễn Ngọc Thịnh,Vietnam,426.95
583,Chengzhang Lin (林成璋),China,426.97
584,Alessio Giuliano,Switzerland,427.23
585,Ainesh Sevellaraja,Malaysia,427.72
586,Piyush Passi,India,427.86
587,Zhengli Ning (宁郑立),China,427.95
588,Lee Chiang (蔣礪),Taiwan,428.1
589,Aidan McKenzie,USA,428.27
590,James Molloy,United Kingdom,428.3
591,Francisco Cabral de Jesus,Argentina,428.3
592,Daniel Grabski,Austria,428.44
593,Will Newhoff,USA,428.75
594,Nicholas Pena,USA,428.89
595,Yiran Lin (林懿然),China,428.89
596,Morten Arborg,Norway,429.05
597,Aleksander Osipov (Александр Осипов),Russia,429.21
598,Jay Benedict Alfaras,Philippines,429.31
599,Michael Gottlieb,USA,429.54
600,Yezhen Han (韩业臻),China,429.62
601,Justin Mallari,USA,429.73
602,Pedro Giuseppe Garcia Milla,Peru,429.82
603,Jakub Grzybowski,Poland,429.84
604,Joshua Hounslow,Australia,429.89
605,Michael (謝富亦),Indonesia,430.24
606,Cheng-Ying Lee (李承穎),Taiwan,430.34
607,Paolo Moriello,Italy,430.45
608,Aharon Campoli Tono,Brazil,430.46
609,Mikołaj Zubowicz,Poland,430.64
610,Eli Parker,USA,430.65
611,Daniel Delgado Candia,Bolivia,430.7
612,Aarav Gandhi,India,430.71
613,Julián García Sánchez,Mexico,430.85
614,Przemysław Kruczek,Poland,431.15
615,Alese Devin,USA,431.23
616,François-Xavier Kerdelhué,France,431.26
617,Xiaohan Yan (闫小晗),China,431.33
618,Daniel Guzman,USA,431.35
619,Maxim Ilin,Russia,431.38
620,Piotr Olszewski,Poland,431.38
621,Rui Yu (余睿),Taiwan,431.45
622,Vicenzo Guerino Cecchini,Brazil,431.8
623,Reto Bubendorf,Switzerland,431.88
624,Liam Wadek,New Zealand,431.95
625,Gamaliel Jimenez Oropeza,Mexico,431.96
626,Joaquín Infante Medrano,Mexico,431.97
627,Lei Liu (刘磊),China,432.02
628,Midas Kiebert,Netherlands,432.17
629,Jr-Wei Jang (張智瑋),Taiwan,432.29
630,Michael Muething,USA,432.3
631,Carlos Méndez García-Barroso,Spain,432.45
632,Matic Omulec,Slovenia,432.72
633,Kevin Matthews,Canada,432.76
634,Charles Koebele,USA,432.92
635,Zachary Walden,USA,433.09
